"gender","child_age","orphans"
"Female",0,27
"Female",1,32
"Female",2,39
"Female",3,44
"Female",4,50
"Female",5,56
"Female",6,57
"Female",7,64
"Female",8,71
"Female",9,78
"Female",10,84
"Female",11,92
"Female",12,102
"Female",13,111
"Female",14,120
"Female",15,127
"Female",16,122
"Female",17,133
"Male",0,136
"Male",1,154
"Male",2,170
"Male",3,188
"Male",4,192
"Male",5,197
"Male",6,216
"Male",7,243
"Male",8,262
"Male",9,282
"Male",10,320
"Male",11,345
"Male",12,368
"Male",13,364
"Male",14,388
"Male",15,408
"Male",16,439
"Male",17,468
