"age","gender","COVID19_deaths","excess_deaths","death","nb_c","orphans"
"0-9","Female",0,-236.8,0,0,0
"0-9","Male",0,-226.6,0,0,0
"10-19","Female",26.3695205479452,1.2,26.3695205479452,0.0157474991120183,0
"10-19","Male",26.3695205479452,-154.8,26.3695205479452,0.00238040677741799,0
"20-29","Female",0,7.00000000000001,7.00000000000001,0.408020881367379,3
"20-29","Male",26.3695205479452,-378.6,26.3695205479452,0.205428995604837,5
"30-39","Female",369.173287671233,341.2,369.173287671233,1.15741291351119,427
"30-39","Male",342.803767123288,846.4,846.4,0.907215215304825,768
"40-49","Female",606.49897260274,1038.6,1038.6,0.762708438109065,792
"40-49","Male",1186.62842465753,3080.6,3080.6,0.903001354035258,2782
"50-59","Female",1634.9102739726,-1033,1634.9102739726,0.107241827073204,175
"50-59","Male",3032.4948630137,-1356.6,3032.4948630137,0.230975373509104,700
"60-69","Female",4350.97089041096,8635.4,8635.4,0.00192735293408357,17
"60-69","Male",9994.04828767123,18471.8,18471.8,0.0221061667820912,408
"70-79","Female",8570.09417808219,20729,20729,0,0
"70-79","Male",13501.1945205479,31650.4,31650.4,0.00782528375731755,248
"80-89","Female",13527.5640410959,16314.4,16314.4,0,0
"80-89","Male",11839.9147260274,18045.2,18045.2,0.00782528375731755,141
"90+","Female",5300.27363013699,22511.8,22511.8,0,0
"90+","Male",2663.32157534247,10817.6,10817.6,0.00782528375731755,85
