country,year,age,gender,value,pop,fertility_rate
Poland,2007,15-19,Male,2785,1408,1.9779829545454546
Poland,2007,20-24,Male,48228,1626,29.660516605166052
Poland,2007,25-29,Male,125022,1641,76.18647166361974
Poland,2007,30-34,Male,116825,1447,80.73600552868002
Poland,2007,35-39,Male,49968,1241,40.26430298146656
Poland,2007,40-44,Male,18422,1203,15.313383208645053
Poland,2007,45-49,Male,6018,1437,4.187891440501044
Poland,2007,50+,Male,2360,5429,0.434702523484988
Poland,2009,15-19,Male,2867,1333,2.150787696924231
Poland,2009,20-24,Male,45844,1516,30.240105540897098
Poland,2009,25-29,Male,131120,1668,78.60911270983213
Poland,2009,30-34,Male,131582,1517,86.73829927488464
Poland,2009,35-39,Male,59705,1312,45.50685975609756
Poland,2009,40-44,Male,20036,1180,16.97966101694915
Poland,2009,45-49,Male,6471,1297,4.989205859676176
Poland,2009,50+,Male,2591,5688,0.45552039381153303
Poland,2010,15-19,Male,2508,1289,1.9456943366951125
Poland,2010,20-24,Male,41146,1467,28.047716428084527
Poland,2010,25-29,Male,127322,1659,76.7462326702833
Poland,2010,30-34,Male,133706,1549,86.31762427372499
Poland,2010,35-39,Male,63494,1351,46.99777942264989
Poland,2010,40-44,Male,20535,1185,17.329113924050635
Poland,2010,45-49,Male,6418,1245,5.155020080321285
Poland,2010,50+,Male,2710,5795,0.46764452113891286
Poland,2011,15-19,Male,2129,1237,1.7210994341147938
Poland,2011,20-24,Male,34844,1427,24.417659425367905
Poland,2011,25-29,Male,117311,1640,71.53109756097561
Poland,2011,30-34,Male,126074,1578,79.89480354879595
Poland,2011,35-39,Male,62972,1384,45.5
Poland,2011,40-44,Male,20155,1194,16.880234505862646
Poland,2011,45-49,Male,6031,1199,5.030025020850709
Poland,2011,50+,Male,2666,5881,0.4533242645808536
Poland,2012,15-19,Male,2262,1181,1.9153259949195598
Poland,2012,20-24,Male,33659,1393,24.162957645369705
Poland,2012,25-29,Male,114173,1607,71.04729309271936
Poland,2012,30-34,Male,126329,1611,78.4165114835506
Poland,2012,35-39,Male,65457,1419,46.12896405919662
Poland,2012,40-44,Male,20664,1216,16.99342105263158
Poland,2012,45-49,Male,5925,1169,5.068434559452523
Poland,2012,50+,Male,2657,5955,0.44617968094038624
Poland,2015,15-19,Male,1669,1021,1.634671890303624
Poland,2015,20-24,Male,27466,1271,21.609756097560975
Poland,2015,25-29,Male,94762,1474,64.28900949796473
Poland,2015,30-34,Male,129109,1661,77.72968091511137
Poland,2015,35-39,Male,69481,1525,45.56131147540984
Poland,2015,40-44,Male,23157,1318,17.56980273141123
Poland,2015,45-49,Male,5954,1147,5.190932868352223
Poland,2015,50+,Male,2447,6119,0.399901944762216
Poland,2016,15-19,Male,1638,978,1.6748466257668713
Poland,2016,20-24,Male,26574,1221,21.764127764127764
Poland,2016,25-29,Male,96154,1433,67.09979064898813
Poland,2016,30-34,Male,135019,1646,82.02855407047387
Poland,2016,35-39,Male,76004,1563,48.626999360204735
Poland,2016,40-44,Male,25854,1357,19.05232129697863
Poland,2016,45-49,Male,6055,1162,5.210843373493976
Poland,2016,50+,Male,2510,6174,0.4065435698088759
Poland,2017,15-19,Male,1440,938,1.535181236673774
Poland,2017,20-24,Male,26484,1165,22.73304721030043
Poland,2017,25-29,Male,99868,1394,71.64131994261119
Poland,2017,30-34,Male,142726,1612,88.53970223325062
Poland,2017,35-39,Male,82288,1598,51.49436795994994
Poland,2017,40-44,Male,28543,1394,20.475609756097562
Poland,2017,45-49,Male,6847,1186,5.77318718381113
Poland,2017,50+,Male,2755,6213,0.4434250764525994
