"","X","age","gender","death.x","death.y","death"
"1",1,"0-9","Female",0,0,0
"2",2,"10-19","Female",23.1171232876712,47.6,15
"3",3,"20-29","Female",0,130,122
"4",4,"30-39","Female",323.639726027397,795.4,473
"5",5,"40-49","Female",531.693835616438,23,0
"6",6,"50-59","Female",1433.26164383562,62,0
"7",7,"60-69","Female",3814.32534246575,17201,13602
"8",8,"70-79","Female",7513.06506849315,325,0
"9",9,"80-89","Female",11859.0842465753,513,0
"10",10,"90+","Female",4646.54178082192,201,0
"11",11,"0-9","Male",0,0,0
"12",12,"10-19","Male",23.1171232876712,1,0
"13",13,"20-29","Male",23.1171232876712,1344.8,1348
"14",14,"30-39","Male",300.522602739726,5492.8,5334
"15",15,"40-49","Male",1040.27054794521,8055.4,6855
"16",16,"50-59","Male",2658.46917808219,11740.2,8918
"17",17,"60-69","Male",8761.3897260274,43317.8,34404
"18",18,"70-79","Male",11835.9671232877,512,0
"19",19,"80-89","Male",10379.5883561644,449,0
"20",20,"90+","Male",2334.82945205479,101,0
