"year","age","gender","country","value","pop","fertility_rate"
"2007","15-19","Male","Poland",2701,1408,1.91832386363636
"2007","20-24","Male","Poland",48192,1626,29.6383763837638
"2007","25-29","Male","Poland",125344,1641,76.3826934795856
"2007","30-34","Male","Poland",116772,1447,80.6993780234969
"2007","35-39","Male","Poland",49844,1241,40.1643835616438
"2007","40-44","Male","Poland",18788,1203,15.6176226101413
"2007","45-49","Male","Poland",6099,1437,4.24425887265136
"2007","50+","Male","Poland",2321,5429,0.427518880088414
"2009","15-19","Male","Poland",2873,1333,2.15528882220555
"2009","20-24","Male","Poland",45905,1516,30.2803430079156
"2009","25-29","Male","Poland",130923,1668,78.4910071942446
"2009","30-34","Male","Poland",132091,1517,87.0738299274885
"2009","35-39","Male","Poland",59759,1312,45.5480182926829
"2009","40-44","Male","Poland",20063,1180,17.0025423728814
"2009","45-49","Male","Poland",6474,1297,4.99151888974557
"2009","50+","Male","Poland",2607,5688,0.458333333333333
"2010","15-19","Male","Poland",2553,1289,1.98060512024825
"2010","20-24","Male","Poland",41029,1467,27.9679618268575
"2010","25-29","Male","Poland",127388,1659,76.7860156720916
"2010","30-34","Male","Poland",132879,1549,85.7837314396385
"2010","35-39","Male","Poland",63377,1351,46.9111769059956
"2010","40-44","Male","Poland",20674,1185,17.4464135021097
"2010","45-49","Male","Poland",6415,1245,5.15261044176707
"2010","50+","Male","Poland",2739,5795,0.472648835202761
"2011","15-19","Male","Poland",2103,1237,1.70008084074373
"2011","20-24","Male","Poland",34939,1427,24.4842326559215
"2011","25-29","Male","Poland",117782,1640,71.8182926829268
"2011","30-34","Male","Poland",126400,1578,80.1013941698352
"2011","35-39","Male","Poland",63343,1384,45.768063583815
"2011","40-44","Male","Poland",20257,1194,16.965661641541
"2011","45-49","Male","Poland",6086,1199,5.07589658048374
"2011","50+","Male","Poland",2679,5881,0.455534772997789
"2012","15-19","Male","Poland",2231,1181,1.88907705334462
"2012","20-24","Male","Poland",33640,1393,24.1493180186648
"2012","25-29","Male","Poland",114291,1607,71.1207218419415
"2012","30-34","Male","Poland",126439,1611,78.4847920546245
"2012","35-39","Male","Poland",65320,1419,46.0324171952079
"2012","40-44","Male","Poland",20696,1216,17.0197368421053
"2012","45-49","Male","Poland",6013,1169,5.1437125748503
"2012","50+","Male","Poland",2613,5955,0.438790931989924
"2015","15-19","Male","Poland",1668,1021,1.63369245837414
"2015","20-24","Male","Poland",27666,1271,21.7671125098348
"2015","25-29","Male","Poland",95145,1474,64.5488466757123
"2015","30-34","Male","Poland",129420,1661,77.9169175195665
"2015","35-39","Male","Poland",69982,1525,45.8898360655738
"2015","40-44","Male","Poland",23164,1318,17.5751138088012
"2015","45-49","Male","Poland",5812,1147,5.06713164777681
"2015","50+","Male","Poland",2468,6119,0.403333878084654
"2016","15-19","Male","Poland",1575,978,1.61042944785276
"2016","20-24","Male","Poland",26632,1221,21.8116298116298
"2016","25-29","Male","Poland",96032,1433,67.0146545708304
"2016","30-34","Male","Poland",135909,1646,82.5692588092345
"2016","35-39","Male","Poland",75239,1563,48.1375559820857
"2016","40-44","Male","Poland",25750,1357,18.9756816507001
"2016","45-49","Male","Poland",6205,1162,5.33993115318416
"2016","50+","Male","Poland",2583,6174,0.418367346938776
"2017","15-19","Male","Poland",1493,938,1.59168443496802
"2017","20-24","Male","Poland",26406,1165,22.6660944206009
"2017","25-29","Male","Poland",99545,1394,71.409612625538
"2017","30-34","Male","Poland",142884,1612,88.6377171215881
"2017","35-39","Male","Poland",82676,1598,51.7371714643304
"2017","40-44","Male","Poland",28505,1394,20.448350071736
"2017","45-49","Male","Poland",6731,1186,5.67537942664418
"2017","50+","Male","Poland",2703,6213,0.435055528730082
