V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
,x,2021,2021,K04000001,England and Wales,week-13,Week 13,male,Male,all-ages,All ages,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-18,Week 18,all,All,80-84,80-84,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-45,Week 45,male,Male,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-27,Week 27,all,All,40-44,40-44,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-17,Week 17,male,Male,20-24,20-24,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-25,Week 25,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-25,Week 25,all,All,30-34,30-34,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-20,Week 20,female,Female,65-69,65-69,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,female,Female,40-44,40-44,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-26,Week 26,all,All,45-49,45-49,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-28,Week 28,female,Female,55-59,55-59,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-27,Week 27,male,Male,25-29,25-29,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-42,Week 42,male,Male,1-4,01-04,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
4,,2020,2020,K04000001,England and Wales,week-13,Week 13,female,Female,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-22,Week 22,male,Male,65-69,65-69,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-35,Week 35,female,Female,all-ages,All ages,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-42,Week 42,male,Male,10-14,10-14,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-47,Week 47,male,Male,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-36,Week 36,all,All,1-4,01-04,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-17,Week 17,female,Female,25-29,25-29,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-27,Week 27,all,All,15-19,15-19,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-51,Week 51,male,Male,85-89,85-89,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-16,Week 16,male,Male,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-24,Week 24,all,All,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
,x,2021,2021,K04000001,England and Wales,week-48,Week 48,male,Male,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
233,,2020,2020,K04000001,England and Wales,week-39,Week 39,all,All,50-54,50-54,total-registered-deaths,Total registered deaths
5,,2021,2021,K04000001,England and Wales,week-8,Week 08,female,Female,15-19,15-19,total-registered-deaths,Total registered deaths
33,,2020,2020,K04000001,England and Wales,week-38,Week 38,all,All,80-84,80-84,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
4,,2020,2020,K04000001,England and Wales,week-30,Week 30,male,Male,60-64,60-64,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
45,,2020,2020,K04000001,England and Wales,week-30,Week 30,male,Male,35-39,35-39,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-52,Week 52,all,All,10-14,10-14,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
236,,2021,2021,K04000001,England and Wales,week-14,Week 14,female,Female,65-69,65-69,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-49,Week 49,all,All,25-29,25-29,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-6,Week 06,male,Male,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
146,,2021,2021,K04000001,England and Wales,week-8,Week 08,male,Male,70-74,70-74,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
34,,2020,2020,K04000001,England and Wales,week-20,Week 20,female,Female,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-50,Week 50,all,All,15-19,15-19,total-registered-deaths,Total registered deaths
,x,2021,2021,K04000001,England and Wales,week-34,Week 34,female,Female,45-49,45-49,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
,x,2021,2021,K04000001,England and Wales,week-35,Week 35,male,Male,80-84,80-84,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1790,,2020,2020,K04000001,England and Wales,week-22,Week 22,all,All,all-ages,All ages,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
28,,2021,2021,K04000001,England and Wales,week-2,Week 02,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
12,,2021,2021,K04000001,England and Wales,week-6,Week 06,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
117,,2020,2020,K04000001,England and Wales,week-48,Week 48,all,All,60-64,60-64,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
10,,2020,2020,K04000001,England and Wales,week-18,Week 18,all,All,35-39,35-39,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
356,,2020,2020,K04000001,England and Wales,week-49,Week 49,female,Female,90+,90+,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
0,,2020,2020,K04000001,England and Wales,week-34,Week 34,all,All,1-4,01-04,deaths-involving-covid-19-occurrences,Deaths involving COVID-19: occurrences
76,,2020,2020,K04000001,England and Wales,week-15,Week 15,male,Male,50-54,50-54,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1245,,2021,2021,K04000001,England and Wales,week-4,Week 04,female,Female,90+,90+,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
440,,2020,2020,K04000001,England and Wales,week-32,Week 32,all,All,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-11,Week 11,male,Male,70-74,70-74,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
21,,2020,2020,K04000001,England and Wales,week-23,Week 23,all,All,25-29,25-29,total-registered-deaths,Total registered deaths
267,,2021,2021,K04000001,England and Wales,week-7,Week 07,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
0,,2021,2021,K04000001,England and Wales,week-9,Week 09,female,Female,5-9,05-09,total-registered-deaths,Total registered deaths
201,,2020,2020,K04000001,England and Wales,week-4,Week 04,female,Female,60-64,60-64,total-registered-deaths,Total registered deaths
201,,2021,2021,K04000001,England and Wales,week-14,Week 14,male,Male,55-59,55-59,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-38,Week 38,female,Female,20-24,20-24,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
