"gender","child_age","orphans"
"Female",0,56
"Female",1,63
"Female",2,71
"Female",3,78
"Female",4,85
"Female",5,91
"Female",6,101
"Female",7,110
"Female",8,120
"Female",9,129
"Female",10,157
"Female",11,173
"Female",12,188
"Female",13,204
"Female",14,220
"Female",15,248
"Female",16,271
"Female",17,295
"Male",0,235
"Male",1,260
"Male",2,284
"Male",3,309
"Male",4,333
"Male",5,358
"Male",6,404
"Male",7,438
"Male",8,485
"Male",9,519
"Male",10,617
"Male",11,676
"Male",12,737
"Male",13,794
"Male",14,856
"Male",15,959
"Male",16,1014
"Male",17,1069
