"","age","gender","covid_deaths","excess_deaths","deaths","nb_excess_sample","nb_covid19_sample"
"1","0-9","Male",9,0,13,0,13
"2","10-19","Male",10,0,8,0,8
"3","20-29","Male",46,0,49,0,49
"4","30-39","Male",182,0,181,0,181
"5","40-49","Male",840,0,887,0,887
"6","50-59","Male",3426,2760.6,3524,2762,3524
"7","60-69","Male",9874,7033.2,9849,7138,9849
"8","70-79","Male",22348,18572.4,22127,18514,22127
"9","80-89","Male",28614,32554.2,32327,32327,28741
"10","90+","Male",8791,16839.8,16907,16907,8721
"11","0-9","Female",7,0,12,0,12
"12","10-19","Female",9,11.6,9,9,4
"13","20-29","Female",30,0,29,0,29
"14","30-39","Female",106,0,101,0,101
"15","40-49","Female",369,0,345,0,345
"16","50-59","Female",1359,1029,1357,1034,1357
"17","60-69","Female",3787,2289.4,3836,2304,3836
"18","70-79","Female",10748,7969,10794,8084,10794
"19","80-89","Female",24147,21394,24286,21402,24286
"20","90+","Female",16571,29373.8,29415,29415,16809
