age,gender,country,date,deaths,nb_c,orphans
0-9,Female,Peru,2021-03-31,82,0,0
0-9,Male,Peru,2021-03-31,100,0,0
10-19,Female,Peru,2021-03-31,75,0.10051366329285599,8
10-19,Male,Peru,2021-03-31,89,0.017428336572915065,2
20-29,Female,Peru,2021-03-31,194,1.061896450717684,206
20-29,Male,Peru,2021-03-31,347,0.5978236356498217,207
30-39,Female,Peru,2021-03-31,505,2.024847386532859,1023
30-39,Male,Peru,2021-03-31,1049,1.788346044669061,1876
40-49,Female,Peru,2021-03-31,1181,1.4450856849090699,1707
40-49,Male,Peru,2021-03-31,3072,1.8855956899330186,5793
50-59,Female,Peru,2021-03-31,2520,0.4145920384626164,1045
50-59,Male,Peru,2021-03-31,6549,0.9182958722241572,6014
60-69,Female,Peru,2021-03-31,4504,0.023550281138085667,106
60-69,Male,Peru,2021-03-31,9527,0.2410735570214757,2297
70-79,Female,Peru,2021-03-31,4236,0,0
70-79,Male,Peru,2021-03-31,8432,0.05399445679355436,455
80-89,Female,Peru,2021-03-31,2848,0,0
80-89,Male,Peru,2021-03-31,4906,0.01283070589605466,63
90+,Female,Peru,2021-03-31,822,0,0
90+,Male,Peru,2021-03-31,970,0.0012740763701640677,1
