"gender","child_age","orphans"
"Female",0,210
"Female",1,236
"Female",2,260
"Female",3,284
"Female",4,307
"Female",5,338
"Female",6,394
"Female",7,426
"Female",8,461
"Female",9,494
"Female",10,526
"Female",11,590
"Female",12,629
"Female",13,669
"Female",14,706
"Female",15,743
"Female",16,867
"Female",17,915
"Male",0,510
"Male",1,556
"Male",2,602
"Male",3,648
"Male",4,695
"Male",5,786
"Male",6,856
"Male",7,938
"Male",8,1064
"Male",9,1123
"Male",10,1172
"Male",11,1290
"Male",12,1386
"Male",13,1447
"Male",14,1507
"Male",15,1568
"Male",16,1618
"Male",17,1671
