age,gender,deaths
0-4,Male,256
0-4,Female,213
10-14,Male,90
10-14,Female,69
15-19,Male,189
15-19,Female,209
20-24,Male,705
20-24,Female,479
25-29,Male,1774
25-29,Female,1067
30-34,Male,3318
30-34,Female,1724
35-39,Male,5794
35-39,Female,2643
40-44,Male,8555
40-44,Female,3962
45-49,Male,13447
45-49,Female,6795
5-9,Male,59
5-9,Female,41
50-54,Male,16839
50-54,Female,8957
55-59,Male,20856
55-59,Female,12751
60-64,Male,23457
60-64,Female,15130
65-69,Male,23857
65-69,Female,15572
70-74,Male,21458
70-74,Female,14000
75-79,Male,16939
75-79,Female,11402
80+,Male,21067
80+,Female,14693
