Period,age,fertility_rate,country,gender,date
2000-2005,15-19,75.92865406864635,Mexico,Female,2003
2000-2005,15-19,76.00441713078548,Mexico,Female,2004
2005-2010,15-19,70.46597859327217,Mexico,Female,2005
2005-2010,15-19,70.23616376042456,Mexico,Female,2006
2005-2010,15-19,70.20896642280998,Mexico,Female,2007
2005-2010,15-19,70.41427247451344,Mexico,Female,2008
2005-2010,15-19,70.16501650165017,Mexico,Female,2009
2010-2015,15-19,66.00855011824632,Mexico,Female,2010
2010-2015,15-19,66.11560065229209,Mexico,Female,2011
2010-2015,15-19,65.92657722987673,Mexico,Female,2012
2010-2015,15-19,65.90378319388869,Mexico,Female,2013
2010-2015,15-19,65.8616788321168,Mexico,Female,2014
2015-2020,15-19,60.32218567251462,Mexico,Female,2015
2015-2020,15-19,60.409497716894975,Mexico,Female,2016
2015-2020,15-19,60.24945335276968,Mexico,Female,2017
2015-2020,15-19,60.38485288775881,Mexico,Female,2018
2015-2020,15-19,60.388617001993836,Mexico,Female,2019
2000-2005,20-24,141.01937345424568,Mexico,Female,2003
2000-2005,20-24,141.1664275466284,Mexico,Female,2004
2005-2010,20-24,132.88565022421525,Mexico,Female,2005
2005-2010,20-24,132.34060606060606,Mexico,Female,2006
2005-2010,20-24,132.5426511814177,Mexico,Female,2007
2005-2010,20-24,132.473496128648,Mexico,Female,2008
2005-2010,20-24,132.91596142491636,Mexico,Female,2009
2010-2015,20-24,125.97387914230019,Mexico,Female,2010
2010-2015,20-24,126.40903846153846,Mexico,Female,2011
2010-2015,20-24,126.54064809550881,Mexico,Female,2012
2010-2015,20-24,126.57951784713137,Mexico,Female,2013
2010-2015,20-24,126.4039172209904,Mexico,Female,2014
2015-2020,20-24,118.71258253851798,Mexico,Female,2015
2015-2020,20-24,118.54741458066874,Mexico,Female,2016
2015-2020,20-24,118.69389619883042,Mexico,Female,2017
2015-2020,20-24,118.47736851750045,Mexico,Female,2018
2015-2020,20-24,118.75248070562293,Mexico,Female,2019
2000-2005,25-29,142.24604916593503,Mexico,Female,2003
2000-2005,25-29,142.43003710980136,Mexico,Female,2004
2005-2010,25-29,132.0760538896132,Mexico,Female,2005
2005-2010,25-29,132.34646856158483,Mexico,Female,2006
2005-2010,25-29,132.44276273715624,Mexico,Female,2007
2005-2010,25-29,132.54123602615482,Mexico,Female,2008
2005-2010,25-29,132.48767752715122,Mexico,Female,2009
2010-2015,25-29,127.37577639751552,Mexico,Female,2010
2010-2015,25-29,127.25809758097581,Mexico,Female,2011
2010-2015,25-29,127.58358724355068,Mexico,Female,2012
2010-2015,25-29,127.56239935587762,Mexico,Female,2013
2010-2015,25-29,127.75632596134689,Mexico,Female,2014
2015-2020,25-29,120.73350403781761,Mexico,Female,2015
2015-2020,25-29,120.56060606060606,Mexico,Female,2016
2015-2020,25-29,120.53136954858455,Mexico,Female,2017
2015-2020,25-29,120.66007160354249,Mexico,Female,2018
2015-2020,25-29,120.83038540309067,Mexico,Female,2019
2000-2005,30-34,95.19612532886869,Mexico,Female,2003
2000-2005,30-34,95.33598502573702,Mexico,Female,2004
2005-2010,30-34,86.21714154411765,Mexico,Female,2005
2005-2010,30-34,86.69909297052155,Mexico,Female,2006
2005-2010,30-34,86.50538599640933,Mexico,Female,2007
2005-2010,30-34,86.29839786381842,Mexico,Female,2008
2005-2010,30-34,86.39527698079894,Mexico,Female,2009
2010-2015,30-34,83.00963011599913,Mexico,Female,2010
2010-2015,30-34,82.98287819679237,Mexico,Female,2011
2010-2015,30-34,83.30319948464677,Mexico,Female,2012
2010-2015,30-34,83.17148936170213,Mexico,Female,2013
2010-2015,30-34,82.83294663573086,Mexico,Female,2014
2015-2020,30-34,77.87429408073625,Mexico,Female,2015
2015-2020,30-34,77.83571576548582,Mexico,Female,2016
2015-2020,30-34,77.8272466146902,Mexico,Female,2017
2015-2020,30-34,78.1230456852792,Mexico,Female,2018
2015-2020,30-34,77.84738955823293,Mexico,Female,2019
2000-2005,35-39,53.06664830625172,Mexico,Female,2003
2000-2005,35-39,53.107334047109205,Mexico,Female,2004
2005-2010,35-39,46.72027062190997,Mexico,Female,2005
2005-2010,35-39,46.56769776876268,Mexico,Female,2006
2005-2010,35-39,46.54271604938272,Mexico,Female,2007
2005-2010,35-39,46.468817722128584,Mexico,Female,2008
2005-2010,35-39,46.49846878680801,Mexico,Female,2009
2010-2015,35-39,43.997454881999076,Mexico,Female,2010
2010-2015,35-39,43.92567259461924,Mexico,Female,2011
2010-2015,35-39,44.074408117249156,Mexico,Female,2012
2010-2015,35-39,44.07245080500894,Mexico,Female,2013
2010-2015,35-39,44.08897270911915,Mexico,Female,2014
2015-2020,35-39,40.457526408450704,Mexico,Female,2015
2015-2020,35-39,40.177947598253276,Mexico,Female,2016
