age,gender,country,date,deaths,nb_c,orphans
0-9,Female,Peru,2021-04-30,90,0,0
0-9,Male,Peru,2021-04-30,112,0,0
10-19,Female,Peru,2021-04-30,96,0.10051366329285599,10
10-19,Male,Peru,2021-04-30,108,0.017428336572915065,2
20-29,Female,Peru,2021-04-30,241,1.061896450717684,256
20-29,Male,Peru,2021-04-30,430,0.5978236356498217,257
30-39,Female,Peru,2021-04-30,667,2.024847386532859,1351
30-39,Male,Peru,2021-04-30,1362,1.788346044669061,2436
40-49,Female,Peru,2021-04-30,1548,1.4450856849090699,2237
40-49,Male,Peru,2021-04-30,3702,1.8855956899330186,6980
50-59,Female,Peru,2021-04-30,3238,0.4145920384626164,1342
50-59,Male,Peru,2021-04-30,7594,0.9182958722241572,6974
60-69,Female,Peru,2021-04-30,5506,0.023550281138085667,130
60-69,Male,Peru,2021-04-30,10832,0.2410735570214757,2611
70-79,Female,Peru,2021-04-30,5108,0,0
70-79,Male,Peru,2021-04-30,9666,0.05399445679355436,522
80-89,Female,Peru,2021-04-30,3427,0,0
80-89,Male,Peru,2021-04-30,5605,0.01283070589605466,72
90+,Female,Peru,2021-04-30,1000,0,0
90+,Male,Peru,2021-04-30,1145,0.0012740763701640677,1
