"","country","date","age","gender","COVID19_deaths"
"1","Peru","2021-10-09","0-9","Male",400
"2","Peru","2021-10-09","Oct-19","Male",293
"3","Peru","2021-10-09","20-29","Male",1376
"4","Peru","2021-10-09","30-39","Male",4438
"5","Peru","2021-10-09","40-49","Male",11934
"6","Peru","2021-10-09","50-59","Male",22732
"7","Peru","2021-10-09","60-69","Male",32764
"8","Peru","2021-10-09","70-79","Male",30237
"9","Peru","2021-10-09","80-89","Male",19139
"10","Peru","2021-10-09","90+","Male",4522
"11","Peru","2021-10-09","0-9","Female",300
"12","Peru","2021-10-09","Oct-19","Female",304
"13","Peru","2021-10-09","20-29","Female",887
"14","Peru","2021-10-09","30-39","Female",2157
"15","Peru","2021-10-09","40-49","Female",5226
"16","Peru","2021-10-09","50-59","Female",11052
"17","Peru","2021-10-09","60-69","Female",18524
"18","Peru","2021-10-09","70-79","Female",17937
"19","Peru","2021-10-09","80-89","Female",12406
"20","Peru","2021-10-09","90+","Female",3720
