"","age","gender","COVID19_deaths","date","rate"
"1","0-4","female",131,"2021-10-09",0.00345028794682497
"2","0-4","male",203,"2021-10-09",0.00489636451277368
"3","10-14","female",35,"2021-10-09",0.000938681279650912
"4","10-14","male",60,"2021-10-09",0.00139533703731892
"5","15-19","female",73,"2021-10-09",0.00200421138087627
"6","15-19","male",71,"2021-10-09",0.00230864855265495
"7","20-24","female",155,"2021-10-09",0.00367861582565898
"8","20-24","male",189,"2021-10-09",0.00466803663393967
"9","25-29","female",238,"2021-10-09",0.00659613872187127
"10","25-29","male",329,"2021-10-09",0.00849887104548799
"11","30-34","female",364,"2021-10-09",0.00941218256082401
"12","30-34","male",504,"2021-10-09",0.0119237892279981
"13","35-39","female",438,"2021-10-09",0.0114163939417003
"14","35-39","male",675,"2021-10-09",0.0170738513839206
"15","40-44","female",616,"2021-10-09",0.0155009259963975
"16","40-44","male",940,"2021-10-09",0.0241773853920897
"17","45-49","female",818,"2021-10-09",0.0211583834386179
"18","45-49","male",1387,"2021-10-09",0.0348326864043433
"19","5-9","female",23,"2021-10-09",0.00053276505061268
"20","5-9","male",20,"2021-10-09",0.000710353400816906
"21","50-54","female",1348,"2021-10-09",0.0324225587944288
"22","50-54","male",1908,"2021-10-09",0.0496232589999239
"23","55-59","female",1741,"2021-10-09",0.0431285993353122
"24","55-59","male",2503,"2021-10-09",0.0625110992718878
"25","60-64","female",2094,"2021-10-09",0.0532257655326382
"26","60-64","male",2967,"2021-10-09",0.0757541162442601
"27","65-69","female",2425,"2021-10-09",0.0584773067458203
"28","65-69","male",3153,"2021-10-09",0.0798640180632722
"29","70-74","female",2286,"2021-10-09",0.0572341882943907
"30","70-74","male",2875,"2021-10-09",0.0749676535504985
"31","75-79","female",1844,"2021-10-09",0.0450313316589289
"32","75-79","male",1891,"2021-10-09",0.0478981150265114
"33","80+","female",2910,"2021-10-09",0.0740289722708476
"34","80+","male",2337,"2021-10-09",0.0606591064769008
