country,[0-5)_Female,[0-5)_Male,[5-10)_Female,[5-10)_Male,[10-18)_Female,[10-18)_Male
Argentina,3.2% [2.9% - 3.4%],11.1% [10.5% - 11.6%],4.8% [4.6% - 5.1%],16.8% [16.1% - 17.4%],14.9% [14.5% - 15.6%],49.2% [48.2% - 50.0%]
Brazil,3.3% [3.1% - 3.4%],15.6% [15.1% - 16.2%],5.0% [4.8% - 5.2%],19.7% [19.2% - 20.2%],14.3% [14.0% - 14.7%],42.0% [41.4% - 42.6%]
Colombia,2.8% [2.6% - 3.0%],10.8% [10.2% - 11.3%],4.6% [4.3% - 4.9%],16.6% [16.0% - 17.2%],15.2% [14.6% - 15.8%],50.1% [49.2% - 51.1%]
England & Wales,4.2% [3.9% - 4.4%],10.0% [9.7% - 10.3%],6.6% [6.3% - 7.0%],16.8% [16.5% - 17.1%],16.7% [16.1% - 17.2%],45.7% [45.1% - 46.3%]
France,3.2% [2.9% - 3.5%],8.3% [8.0% - 8.7%],5.7% [5.3% - 6.0%],15.0% [14.6% - 15.4%],17.7% [16.9% - 18.5%],50.1% [49.2% - 51.0%]
Germany,3.4% [3.0% - 3.9%],9.9% [9.3% - 10.3%],5.2% [4.7% - 5.6%],16.0% [15.6% - 16.5%],15.0% [14.1% - 16.0%],50.5% [49.6% - 51.7%]
India,2.7% [2.6% - 2.8%],11.2% [11.1% - 11.4%],4.2% [4.0% - 4.3%],17.0% [16.8% - 17.2%],15.2% [15.0% - 15.4%],49.8% [49.5% - 50.1%]
Iran (Islamic Republic of),3.7% [3.5% - 3.9%],13.2% [12.9% - 13.4%],5.2% [5.0% - 5.3%],18.0% [17.9% - 18.2%],13.2% [13.0% - 13.5%],46.7% [46.4% - 47.1%]
Italy,2.3% [2.0% - 2.6%],7.8% [7.5% - 8.1%],4.3% [4.1% - 4.7%],15.2% [14.8% - 15.5%],15.0% [14.3% - 15.7%],55.5% [54.6% - 56.3%]
Kenya,2.9% [2.5% - 3.2%],18.9% [18.2% - 19.5%],4.3% [3.9% - 4.8%],22.3% [21.6% - 23.0%],9.9% [9.2% - 10.7%],41.7% [40.7% - 42.8%]
Malawi,3.6% [3.0% - 4.3%],14.2% [13.2% - 15.3%],4.7% [4.0% - 5.3%],19.2% [18.1% - 20.2%],12.0% [10.6% - 13.4%],46.4% [44.7% - 48.2%]
Mexico,3.4% [3.2% - 3.5%],9.8% [9.6% - 9.9%],5.9% [5.7% - 6.0%],16.7% [16.5% - 16.8%],18.0% [17.7% - 18.2%],46.4% [46.1% - 46.6%]
Nigeria,2.8% [2.3% - 3.3%],15.9% [15.4% - 16.5%],3.7% [3.2% - 4.2%],21.6% [21.0% - 22.1%],8.1% [7.2% - 9.1%],47.9% [46.7% - 48.9%]
Peru,3.3% [3.1% - 3.6%],12.7% [12.0% - 13.4%],5.2% [4.9% - 5.5%],18.6% [17.6% - 19.2%],14.2% [13.8% - 15.0%],46.0% [44.9% - 47.1%]
Philippines,5.8% [5.6% - 6.1%],8.8% [8.6% - 9.1%],9.5% [9.2% - 9.8%],14.0% [13.7% - 14.3%],26.1% [25.5% - 26.7%],35.7% [35.1% - 36.3%]
Poland,3.3% [3.0% - 3.5%],14.3% [13.9% - 14.7%],5.4% [5.1% - 5.7%],19.6% [19.2% - 19.9%],12.8% [12.2% - 13.5%],44.6% [43.9% - 45.3%]
South Africa,5.0% [4.7% - 5.2%],14.6% [14.1% - 15.1%],7.7% [7.4% - 8.0%],18.9% [18.4% - 19.4%],19.0% [18.3% - 19.6%],34.9% [34.1% - 35.5%]
Spain,2.6% [2.3% - 2.8%],7.0% [6.6% - 7.2%],4.5% [4.2% - 4.9%],12.8% [12.5% - 13.2%],19.3% [18.6% - 20.1%],53.8% [52.9% - 54.7%]
USA,5.6% [5.5% - 5.6%],15.2% [15.1% - 15.4%],7.4% [7.3% - 7.5%],18.4% [18.3% - 18.5%],15.4% [15.3% - 15.6%],38.0% [37.8% - 38.1%]
Zimbabwe,7.3% [6.7% - 8.0%],18.2% [17.1% - 19.2%],8.1% [7.5% - 8.8%],21.0% [19.8% - 21.8%],12.6% [11.8% - 13.6%],32.8% [31.5% - 34.2%]
Global,3.1% [3.0% - 3.4%],11.6% [11.1% - 11.7%],4.8% [4.6% - 5.2%],17.1% [16.7% - 17.1%],15.5% [15.3% - 15.8%],47.9% [47.2% - 48.9%]
