"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Algeria","6,100 [4,300 - 7,700]","2.4% [2.0% - 2.9%]","5.1% [4.4% - 5.7%]","4.4% [3.8% - 5.1%]","11.8% [10.9% - 12.8%]","16.8% [15.7% - 18.0%]","59.4% [58.0% - 61.0%]"
"Angola","3,100 [3,100 - 3,200]","2.9% [2.2% - 3.7%]","4.6% [3.8% - 5.4%]","4.6% [3.7% - 5.5%]","12.4% [11.1% - 13.8%]","13.4% [12.0% - 14.8%]","62.2% [60.0% - 64.3%]"
"Benin","300 [200 - 300]","4.8% [2.3% - 7.2%]","9.2% [5.8% - 13.0%]","6.1% [3.4% - 9.0%]","17.4% [13.3% - 21.8%]","12.5% [8.5% - 16.5%]","50.1% [44.0% - 55.8%]"
"Botswana","2,200 [1,500 - 2,900]","4.1% [3.2% - 5.1%]","12.6% [11.2% - 14.0%]","6.4% [5.4% - 7.4%]","17.6% [15.9% - 19.4%]","18.1% [16.4% - 19.8%]","41.1% [38.8% - 43.2%]"
"Burkina Faso","400 [300 - 400]","3.8% [2.0% - 5.9%]","6.3% [4.0% - 8.7%]","6.2% [4.0% - 8.7%]","13.9% [10.7% - 17.4%]","17.6% [13.8% - 21.3%]","52.1% [46.9% - 57.1%]"
"Burundi","100 [0 - 100]","3.6% [0.0% - 8.6%]","9.6% [4.2% - 17.2%]","5.5% [1.4% - 11.5%]","16.9% [8.5% - 25.8%]","14.9% [7.2% - 24.3%]","49.5% [37.1% - 61.5%]"
"Cabo Verde","100 [0 - 300]","4.0% [0.9% - 7.8%]","16.5% [10.3% - 23.5%]","6.0% [1.8% - 10.9%]","19.7% [12.6% - 27.0%]","16.0% [9.2% - 23.1%]","37.7% [28.9% - 46.7%]"
"Cameroon","3,000 [3,000 - 3,100]","4.6% [3.7% - 5.5%]","12.2% [10.9% - 13.4%]","6.5% [5.5% - 7.6%]","18.9% [17.3% - 20.5%]","14.1% [12.7% - 15.5%]","43.7% [41.8% - 45.7%]"
"Central African Republic","200 [100 - 200]","3.9% [1.6% - 6.7%]","10.2% [6.0% - 15.0%]","5.7% [2.7% - 9.4%]","17.3% [12.1% - 22.7%]","15.0% [9.9% - 20.4%]","47.9% [40.8% - 55.3%]"
"Chad","300 [300 - 400]","3.6% [1.8% - 5.7%]","7.2% [4.7% - 10.1%]","5.5% [3.1% - 8.2%]","15.3% [11.5% - 19.5%]","14.4% [10.6% - 18.9%]","54.0% [47.9% - 59.6%]"
"Comoros","300 [200 - 300]","2.9% [1.1% - 5.1%]","11.9% [8.0% - 16.0%]","5.3% [2.7% - 8.1%]","17.0% [12.4% - 21.5%]","20.3% [15.5% - 25.3%]","42.7% [36.3% - 49.1%]"
"Congo","500 [400 - 500]","3.0% [1.4% - 4.6%]","9.8% [6.9% - 12.4%]","5.4% [3.4% - 7.8%]","16.7% [13.1% - 20.4%]","14.9% [11.6% - 18.3%]","50.2% [45.6% - 55.3%]"
