"","date","gender","age","COVID19_deaths"
"1","2021-04-30","M","0-5",585
"2","2021-04-30","M","10-15",132
"3","2021-04-30","M","100+",565
"4","2021-04-30","M","15-20",353
"5","2021-04-30","M","20-25",743
"6","2021-04-30","M","25-30",1335
"7","2021-04-30","M","30-35",2553
"8","2021-04-30","M","35-40",4452
"9","2021-04-30","M","40-45",6846
"10","2021-04-30","M","45-50",9480
"11","2021-04-30","M","5-10",112
"12","2021-04-30","M","50-55",13303
"13","2021-04-30","M","55-60",18657
"14","2021-04-30","M","60-65",25076
"15","2021-04-30","M","65-70",30876
"16","2021-04-30","M","70-75",32869
"17","2021-04-30","M","75-80",29691
"18","2021-04-30","M","80-85",25846
"19","2021-04-30","M","85-90",17619
"20","2021-04-30","M","90-95",8499
"21","2021-04-30","M","95-100",2384
"22","2021-04-30","F","0-5",469
"23","2021-04-30","F","10-15",117
"24","2021-04-30","F","100+",855
"25","2021-04-30","F","15-20",357
"26","2021-04-30","F","20-25",737
"27","2021-04-30","F","25-30",1106
"28","2021-04-30","F","30-35",1864
"29","2021-04-30","F","35-40",3075
"30","2021-04-30","F","40-45",4337
"31","2021-04-30","F","45-50",5694
"32","2021-04-30","F","5-10",70
"33","2021-04-30","F","50-55",7752
"34","2021-04-30","F","55-60",11513
"35","2021-04-30","F","60-65",16077
"36","2021-04-30","F","65-70",20529
"37","2021-04-30","F","70-75",22143
"38","2021-04-30","F","75-80",21989
"39","2021-04-30","F","80-85",22335
"40","2021-04-30","F","85-90",17498
"41","2021-04-30","F","90-95",10710
"42","2021-04-30","F","95-100",3540
