"","date","gender","age","COVID19_deaths"
"1","2021-10-31","M","0-5",848
"2","2021-10-31","M","10-15",202
"3","2021-10-31","M","100+",826
"4","2021-10-31","M","15-20",522
"5","2021-10-31","M","20-25",1098
"6","2021-10-31","M","25-30",1979
"7","2021-10-31","M","30-35",3818
"8","2021-10-31","M","35-40",6613
"9","2021-10-31","M","40-45",10155
"10","2021-10-31","M","45-50",14014
"11","2021-10-31","M","5-10",171
"12","2021-10-31","M","50-55",19711
"13","2021-10-31","M","55-60",27649
"14","2021-10-31","M","60-65",37213
"15","2021-10-31","M","65-70",45968
"16","2021-10-31","M","70-75",48716
"17","2021-10-31","M","75-80",44248
"18","2021-10-31","M","80-85",38491
"19","2021-10-31","M","85-90",26174
"20","2021-10-31","M","90-95",12666
"21","2021-10-31","M","95-100",3607
"22","2021-10-31","F","0-5",693
"23","2021-10-31","F","10-15",177
"24","2021-10-31","F","100+",1271
"25","2021-10-31","F","15-20",510
"26","2021-10-31","F","20-25",1088
"27","2021-10-31","F","25-30",1614
"28","2021-10-31","F","30-35",2770
"29","2021-10-31","F","35-40",4581
"30","2021-10-31","F","40-45",6423
"31","2021-10-31","F","45-50",8399
"32","2021-10-31","F","5-10",104
"33","2021-10-31","F","50-55",11592
"34","2021-10-31","F","55-60",17200
"35","2021-10-31","F","60-65",23998
"36","2021-10-31","F","65-70",30641
"37","2021-10-31","F","70-75",32944
"38","2021-10-31","F","75-80",32859
"39","2021-10-31","F","80-85",33176
"40","2021-10-31","F","85-90",26060
"41","2021-10-31","F","90-95",15923
"42","2021-10-31","F","95-100",5300
